ActivityDay,StepTotal
4/12/2016,13162
4/13/2016,10735
4/14/2016,10460
4/15/2016,9762
4/16/2016,12669
4/17/2016,9705
4/18/2016,13019
4/19/2016,15506
4/20/2016,10544
4/21/2016,9819
4/22/2016,12764
4/23/2016,14371
4/24/2016,10039
4/25/2016,15355
4/26/2016,13755
4/27/2016,18134
4/28/2016,13154
4/29/2016,11181
4/30/2016,14673
5/1/2016,10602
5/2/2016,14727
5/3/2016,15103
5/4/2016,11100
5/5/2016,14070
5/6/2016,12159
5/7/2016,11992
5/8/2016,10060
5/9/2016,12022
5/10/2016,12207
5/11/2016,12770
5/12/2016,0
