Value_timestamp,Unite_timestamp,Value_position_lat,Unite_position_lat,Value_position_long,Unite_position_long,Value_distance,Unite_distance,Value_heart_rate,Unite_heart_rate,Value_speed,Unite_speed,Value_altitude,Unite_altitude,Value_temperature,Unite_temperature
1371867999000,ms,-31.96492586284876,degrees,116.10833127982914,degrees,3.92,m,109,bpm,2.67,m/s,280.79999999999995,m,null,null
1371868002000,ms,-31.96494346484542,degrees,116.1084474530071,degrees,15.08,m,112,bpm,2.879,m/s,281.0,m,null,null
1371868003000,ms,-31.964931897819042,degrees,116.10849221237004,degrees,19.48,m,114,bpm,2.981,m/s,281.20000000000005,m,null,null
1371868006000,ms,-31.964863166213036,degrees,116.10861173830926,degrees,33.16,m,118,bpm,3.464,m/s,281.4,m,null,null
1371868007000,ms,-31.964829303324223,degrees,116.10863386653364,degrees,37.45,m,119,bpm,3.688,m/s,281.79999999999995,m,null,null
1371868009000,ms,-31.964766439050436,degrees,116.1086736805737,degrees,45.53,m,122,bpm,3.971,m/s,281.79999999999995,m,null,null
1371868011000,ms,-31.964699300006032,degrees,116.10871952958405,degrees,54.2,m,126,bpm,4.111,m/s,282.0,m,null,null
1371868014000,ms,-31.96465856395662,degrees,116.1087770294398,degrees,61.41,m,129,bpm,3.901,m/s,282.20000000000005,m,null,null
1371868015000,ms,-31.964662671089172,degrees,116.10881365835667,degrees,64.88,m,130,bpm,3.778,m/s,282.4,m,null,null
1371868018000,ms,-31.96474372409284,degrees,116.10882631503046,degrees,74.52,m,131,bpm,3.383,m/s,282.79999999999995,m,null,null
1371868022000,ms,-31.964829303324223,degrees,116.10890367999673,degrees,87.12,m,134,bpm,3.005,m/s,283.20000000000005,m,null,null
1371868026000,ms,-31.9648908264935,degrees,116.10897115431726,degrees,97.08,m,136,bpm,2.854,m/s,283.6,m,null,null
1371868029000,ms,-31.964926030486822,degrees,116.1090051010251,degrees,102.11,m,138,bpm,2.628,m/s,283.6,m,null,null
1371868031000,ms,-31.964933490380645,degrees,116.10904583707452,degrees,106.47,m,140,bpm,2.427,m/s,283.6,m,null,null
1371868034000,ms,-31.964998869225383,degrees,116.10909185372293,degrees,115.22,m,143,bpm,2.253,m/s,283.6,m,null,null
1371868035000,ms,-31.965020829811692,degrees,116.10912512987852,degrees,119.17,m,144,bpm,2.273,m/s,283.6,m,null,null
1371868038000,ms,-31.96507782675326,degrees,116.10920509323478,degrees,129.2,m,147,bpm,2.539,m/s,283.79999999999995,m,null,null
1371868039000,ms,-31.96510129608214,degrees,116.1092352680862,degrees,133.05,m,148,bpm,2.652,m/s,283.79999999999995,m,null,null
1371868042000,ms,-31.965167177841067,degrees,116.10929159447551,degrees,142.2,m,151,bpm,2.956,m/s,284.0,m,null,null
1371868043000,ms,-31.96518536657095,degrees,116.10932730138302,degrees,146.12,m,152,bpm,3.106,m/s,284.0,m,null,null
1371868045000,ms,-31.965222163125873,degrees,116.10939661972225,degrees,153.83,m,153,bpm,3.412,m/s,284.0,m,null,null
1371868047000,ms,-31.965271197259426,degrees,116.10943526029587,degrees,160.29,m,154,bpm,3.422,m/s,284.20000000000005,m,null,null
1371868048000,ms,-31.965296594426036,degrees,116.10946157947183,degrees,164.05,m,155,bpm,3.385,m/s,284.20000000000005,m,null,null
1371868051000,ms,-31.965338168665767,degrees,116.10952394083142,degrees,171.73,m,156,bpm,3.252,m/s,284.20000000000005,m,null,null
1371868053000,ms,-31.965354597195983,degrees,116.1095978692174,degrees,179.07,m,157,bpm,3.356,m/s,284.20000000000005,m,null,null
1371868057000,ms,-31.965396841987967,degrees,116.1097458936274,degrees,193.87,m,158,bpm,3.314,m/s,284.20000000000005,m,null,null
1371868058000,ms,-31.965422742068768,degrees,116.10976098105311,degrees,196.86,m,158,bpm,3.294,m/s,284.20000000000005,m,null,null
1371868060000,ms,-31.9654209818691,degrees,116.1098254378885,degrees,202.94,m,159,bpm,3.181,m/s,284.4,m,null,null
1371868062000,ms,-31.965428944677114,degrees,116.10988771542907,degrees,208.88,m,159,bpm,3.217,m/s,284.4,m,null,null
1371868066000,ms,-31.965439841151237,degrees,116.11004177480936,degrees,223.54,m,160,bpm,3.313,m/s,284.6,m,null,null
1371868068000,ms,-31.965475883334875,degrees,116.11010648310184,degrees,230.9,m,160,bpm,3.305,m/s,284.79999999999995,m,null,null
1371868070000,ms,-31.965529695153236,degrees,116.11018233932555,degrees,240.14,m,160,bpm,3.472,m/s,285.0,m,null,null
1371868074000,ms,-31.96564075537026,degrees,116.11029683612287,degrees,256.5,m,159,bpm,3.916,m/s,285.79999999999995,m,null,null
1371868078000,ms,-31.965709486976266,degrees,116.11042650416493,degrees,270.97,m,158,bpm,3.956,m/s,286.4,m,null,null
1371868085000,ms,-31.96587050333619,degrees,116.11064485274255,degrees,298.28,m,157,bpm,3.802,m/s,287.6,m,null,null
1371868089000,ms,-31.965949963778257,degrees,116.11076027154922,degrees,312.96,m,157,bpm,3.757,m/s,288.20000000000005,m,null,null
1371868092000,ms,-31.96595063433051,degrees,116.11085842363536,degrees,322.4,m,157,bpm,3.625,m/s,288.79999999999995,m,null,null
1371868094000,ms,-31.965914256870747,degrees,116.11090368591249,degrees,328.42,m,158,bpm,3.429,m/s,289.20000000000005,m,null,null
